SRR14092348	s_1042A
SRR14092347	s_1042AA
SRR14092272	s_1042B
SRR13697068	s_1042BB
SRR14092261	s_1042C
SRR14092250	s_1042D
SRR14092239	s_1042E
SRR14092228	s_1042F
SRR14092217	s_1042G
SRR14092206	s_1042H
SRR13697067	s_1042HH
SRR13697113	s_1042I
SRR14092195	s_1042II
SRR13697102	s_1042J
SRR13697155	s_1042JJ
SRR14092346	s_1042K
SRR14092335	s_1042KK
SRR13697144	s_1042L
SRR14092324	s_1042M
SRR14092313	s_1042N
SRR14092174	s_1042O
SRR14092163	s_1042P
SRR14092312	s_1042Q
SRR14092301	s_1042R
SRR14092290	s_1042S
SRR14092279	s_1042T
SRR13697133	s_1042U
SRR14092271	s_1042V
SRR14092270	s_1042W
SRR13697186	s_1042X
SRR14092269	s_1042Y
SRR14092268	s_1042Z
SRR14092267	s_1044A
SRR14092266	s_1044B
SRR14092265	s_1044C
SRR14092264	s_1044D
SRR14092263	s_1044E
SRR14092262	s_1044F
SRR14092260	s_1044G
SRR14092259	s_1044H
SRR14092258	s_1044I
SRR14092257	s_1044J
SRR13697175	s_1044K
SRR13697207	s_1044L
SRR14092256	s_1044M
SRR14143427	s_1044N
SRR13697066	s_1044O
SRR14092255	s_1044P
SRR13697230	s_1044Q
SRR13697219	s_1044R
SRR13697208	s_1044S
SRR14092254	s_1105A
SRR14092253	s_1105B
SRR13697090	s_1105C
SRR14092252	s_1105D
SRR13697079	s_1105E
SRR14092251	s_1105F
SRR14092249	s_1105G
SRR14092248	s_1105H
SRR14092247	s_1105I
SRR14092246	s_1105J
SRR14092245	s_1105K
SRR14092244	s_1105L
SRR13697132	s_1105M
SRR13697121	s_1105N
SRR14092243	s_1105O
SRR13697115	s_1105P
SRR13697114	s_1105Q
SRR14092242	s_1105R
SRR14092241	s_1105S
SRR14092240	s_1105T
SRR14092238	s_1105U
SRR13697112	s_1107E
SRR14092237	s_1110H
SRR13697111	s_1110K
SRR14092236	s_1110M
SRR14143426	s_1179A
SRR14092235	s_1179B
SRR14092234	s_1179C
SRR14092233	s_1179D
SRR14092232	s_1179E
SRR13697110	s_1179F
SRR13697109	s_1179G
SRR13697108	s_1179H
SRR14092231	s_1179I
SRR13697107	s_1179J
SRR13697106	s_1179K
SRR14092230	s_1179L
SRR13697105	s_1179M
SRR13697104	s_1179N
SRR14092229	s_1179O
SRR14143419	s_1179P
SRR14092227	s_1179Q
SRR13697103	s_1179R
SRR13697101	s_1179S
SRR13697164	s_1179T
SRR13697163	s_1179U
SRR13697162	s_1179V
SRR13697161	s_1179W
SRR13697160	s_1179X
SRR14092226	s_1179Y
SRR14092225	s_1193A
SRR14092224	s_1193B
SRR14092223	s_1193C
SRR14092222	s_1193D
SRR14092221	s_1193E
SRR14092220	s_1193F
SRR14092219	s_1193G
SRR14092218	s_1193H
SRR13697159	s_1193M
SRR13697158	s_1193N
SRR13697157	s_1203A
SRR14143418	s_1203B
SRR14143417	s_1203C
SRR13697156	s_1203D
SRR13697154	s_1203E
SRR13697153	s_1203F
SRR14092216	s_1203G
SRR14092215	s_1203H
SRR14092214	s_1203I
SRR13697152	s_1203J
SRR13697151	s_1203K
SRR13697150	s_1203L
SRR13697149	s_1203M
SRR13697148	s_1203N
SRR13697147	s_1203O
